259,344,1.036, 50 , 110

378,365,0.963, 50 , 130

380,374,0.915, 50 , 130

350,295,0.867, 70 , 130

383,291,0.957, 70 , 130

350,265,1.275, 70 , 110

302,268,1.133, 70 , 110

265,263,1.455, 70 , 90

76,192,1.350, 90 , 50

78,188,1.300, 90 , 50

161,175,1.378, 90 , 70

245,164,1.477, 90 , 90

261,179,1.417, 90 , 90

234,205,1.108, 90 , 90

327,186,1.180, 90 , 110

439,185,1.382, 90 , 130

393,216,1.026, 90 , 130

376,176,0.797, 110 , 130

381,157,0.935, 110 , 130

412,110,1.212, 110 , 130

210,150,0.938, 110 , 90

218,136,1.010, 110 , 90

160,117,1.320, 110 , 70

155,118,1.289, 110 , 70

130,165,0.892, 110 , 70

56,124,1.133, 110 , 50

66,121,1.175, 110 , 50

169,373,1.672, 130 , 50

115,49,1.093, 130 , 70

132,66,0.987, 130 , 70

122,112,0.697, 130 , 90

210,67,0.823, 130 , 90

226,56,1.137, 130 , 90

340,38,1.417, 130 , 110

374,60,0.800, 130 , 130

